aX,aY,aZ,gX,gY,gZ
0.548,-0.778,0.325,3.784,-2.563,-0.122
0.549,-0.787,0.322,3.845,-4.272,-1.221
0.553,-0.789,0.321,3.418,-7.629,-1.831
0.567,-0.774,0.343,3.357,-13.306,-2.075
0.601,-0.761,0.351,2.930,-16.541,-2.319
0.600,-0.787,0.336,1.892,-12.939,-4.028
0.559,-0.821,0.343,0.061,-9.399,-4.517
0.539,-0.844,0.360,-0.671,-7.263,-2.686
0.523,-0.844,0.372,-0.793,-3.662,0.427
0.521,-0.837,0.350,-0.427,1.343,3.906
0.516,-0.820,0.335,0.244,6.226,5.920
0.510,-0.807,0.314,0.793,8.606,7.324
0.515,-0.801,0.301,1.282,8.545,7.690
0.532,-0.782,0.297,1.343,6.836,7.568
0.552,-0.792,0.294,0.488,3.845,6.042
0.547,-0.805,0.322,-0.671,0.549,3.418
0.541,-0.822,0.354,-0.549,-1.099,1.282
0.533,-0.849,0.352,-0.427,-1.465,0.549
0.530,-0.835,0.363,-0.305,-2.136,1.526
0.540,-0.836,0.353,-0.305,-1.160,2.441
0.540,-0.828,0.335,-0.122,0.916,3.418
0.525,-0.806,0.312,-0.427,3.296,4.578
0.527,-0.798,0.282,-0.305,4.822,5.371
0.519,-0.775,0.251,0.366,4.150,5.615
0.526,-0.760,0.233,0.549,2.869,5.066
0.521,-0.769,0.231,-0.061,1.343,3.418
0.503,-0.770,0.236,-1.404,-0.427,2.075
0.497,-0.781,0.247,-3.052,-2.258,1.465
0.496,-0.796,0.271,-4.211,-3.784,1.038
0.476,-0.810,0.280,-5.676,-3.540,1.038
0.469,-0.822,0.309,-6.958,-2.075,1.343
0.478,-0.824,0.325,-6.836,-0.366,1.831
0.492,-0.858,0.299,-6.104,1.221,2.563
0.563,-0.717,0.265,-6.592,1.526,4.456
0.505,-0.907,0.375,-8.057,-6.287,1.343
0.438,-0.713,0.383,-8.728,-5.249,2.991
0.531,-0.837,0.292,-5.371,2.014,0.916
0.551,-0.786,0.325,-5.310,-1.038,1.587
0.539,-0.788,0.338,-5.066,-4.639,0.549
0.532,-0.802,0.266,-4.395,-2.686,-1.770
0.521,-0.796,0.283,-5.493,-7.446,-1.770
0.510,-0.779,0.331,-7.019,-12.146,-1.404

-0.661,-0.647,2.660,-225.952,-332.581,-80.505
-0.616,-0.951,3.084,-190.186,-303.711,-64.514
-0.472,-1.050,3.510,-150.696,-260.254,-37.231
-0.178,-1.035,3.646,-116.150,-183.899,-6.531
0.069,-0.981,3.323,-83.923,-76.477,18.311
0.200,-0.860,2.806,-62.622,28.015,37.598
0.207,-0.716,2.263,-51.697,106.079,50.659
0.194,-0.638,1.888,-45.837,149.719,56.213
0.214,-0.609,1.563,-41.870,162.781,53.345
0.292,-0.519,1.363,-36.255,144.775,45.166
0.323,-0.576,1.265,-28.259,97.595,30.884
0.324,-0.550,1.332,-20.264,39.307,15.076
0.323,-0.551,1.366,-7.507,-4.761,1.099
0.328,-0.586,1.349,1.831,-32.959,-7.202
0.309,-0.565,1.406,8.240,-44.067,-11.597
0.253,-0.557,1.363,14.954,-37.537,-10.620
0.223,-0.490,1.286,18.921,-20.874,-4.395
0.199,-0.410,1.162,21.851,-0.305,1.404
0.187,-0.372,1.040,21.606,19.531,6.775
0.182,-0.335,0.947,18.311,35.950,11.047
0.179,-0.299,0.856,15.320,46.997,14.771
0.178,-0.260,0.781,12.207,51.086,15.625
0.167,-0.258,0.719,8.606,46.265,13.855
0.160,-0.267,0.699,5.615,33.813,11.353
0.161,-0.263,0.711,3.235,17.639,9.460
0.186,-0.251,0.716,2.014,3.784,6.531
0.200,-0.260,0.740,0.732,-7.751,3.235
0.191,-0.247,0.802,-1.099,-16.235,1.099
0.185,-0.251,0.835,-2.869,-16.052,-0.244
0.182,-0.269,0.861,-4.395,-10.559,-1.221
0.182,-0.294,0.882,-6.165,-4.761,-1.587
0.172,-0.336,0.908,-7.080,-1.038,-1.587
0.165,-0.359,0.938,-7.690,1.526,-0.671
0.171,-0.370,0.953,-7.019,3.479,0.122
0.175,-0.388,0.957,-5.432,2.991,0.000
0.164,-0.387,0.972,-3.723,1.038,-0.183
0.163,-0.394,0.976,-1.465,0.671,-0.061
0.165,-0.396,0.953,0.000,1.526,0.549
0.175,-0.387,0.950,0.671,1.587,1.038
